First name,Test1,Test2,Test3,Final,Grade,Sum,Avg
University,41.0,97.0,96.0,48.0,"   ""D+""",282.0,70.5
Gramma,41.0,80.0,60.0,44.0,"   ""C""",225.0,56.25
Electric,42.0,23.0,36.0,47.0,"   ""B-""",148.0,37.0
Fred,43.0,78.0,88.0,45.0,"   ""A-""",254.0,63.5
Betty,44.0,90.0,80.0,46.0,"   ""C-""",260.0,65.0
Cecil,45.0,11.0,-1.0,43.0,"   ""F""",98.0,24.5
Bif,46.0,20.0,30.0,50.0,"   ""B+""",146.0,36.5
Andrew,49.0,1.0,90.0,83.0,"   ""A""",223.0,55.75
Jim,48.0,1.0,97.0,97.0,"   ""A+""",243.0,60.75
Art,44.0,1.0,80.0,40.0,"   ""D+""",165.0,41.25
Jim,47.0,1.0,23.0,45.0,"   ""C+""",116.0,29.0
Ima,45.0,1.0,78.0,77.0,"   ""B-""",201.0,50.25
Benny,50.0,1.0,90.0,90.0,"   ""B-""",231.0,57.75
Boy,40.0,1.0,11.0,4.0,"   ""B""",56.0,14.0
Harvey,30.0,1.0,20.0,40.0,"   ""C""",91.0,22.75
